word,meaning,example_sentence,example_translation,interval,ease_factor,repetitions,due_date,created_at
lose track of,흐름/상황/숫자를 놓치다,I lost track of time while talking with him.,그와 대화하는 동안 시간을 잊고 있었다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
we never got to,~할 기회가 없었다,We never got to swim in the lake.,우리는 호수에서 수영할 기회가 없었다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
talk someone into,~하도록 설득하다,I talked him into joining the team.,나는 그를 설득해 팀에 합류하게 했다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
trick someone,속이다 / 속여서 믿게 하다,He tricked me into buying a fake ticket.,그는 나를 속여 가짜 티켓을 사게 했다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
have nothing in common,공통점이 없다,"We have nothing in common, but we still get along.",우리는 공통점이 없지만 여전히 잘 지낸다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
back in your day,너희 시절에는 / 네가 어릴 때는,Was life cheaper back in your day?,너희 시절에는 생활비가 더 저렴했니?,1,2.0,0,2026-05-22,2026-05-21 14:00:00
hit it off,금방 친해지다 / 죽이 잘 맞다,They hit it off as soon as they met.,그들은 만나자마자 죽이 잘 맞았다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
sneak out,몰래 빠져나가다,He sneaked out of the house at midnight.,그는 자정에 집에서 몰래 빠져나갔다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
housewarming party,집들이,We're having a housewarming party this weekend.,이번 주말에 집들이를 할 거예요.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
can't get enough of,정말 좋아해서 질리지 않다,I can't get enough of this song.,나는 이 노래가 질리지 않을 만큼 너무 좋다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
be hard on,~에게 너무 가혹하다,Don't be so hard on yourself.,너 자신에게 너무 가혹하게 굴지 마.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
be obsessed with,~에 집착하다,He's obsessed with working out these days.,그는 요즘 운동에 집착하고 있다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
miss out on,기회를 놓치다,I don't want to miss out on this deal.,나는 이 거래 기회를 놓치고 싶지 않다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
in style,유행하는 / 멋스럽게,Wide pants are back in style.,통 넓은 바지가 다시 유행이다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
play it by ear,그때 가서 결정하다 / 상황 봐서 하자,Let's play it by ear tonight.,오늘 밤은 상황 봐서 결정하자.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
The thing is,문제는 말이야,"The thing is, I don't trust him.","문제는 말이야, 내가 그를 믿지 못한다는 거야.",1,2.0,0,2026-05-22,2026-05-21 14:00:00
on top of,~에 더하여 / 게다가,I have homework on top of my chores.,집안일에 더해 숙제까지 있다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
the point is that,요점은 ~이다,The point is that we don't have enough time.,요점은 우리가 시간이 충분하지 않다는 것이다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
What if,~하면 어때? / 혹시 ~하면?,What if we try a different approach?,다른 방식을 시도해보면 어떨까?,1,2.0,0,2026-05-22,2026-05-21 14:00:00
in the long run,장기적으로 / 결국에는,It will pay off in the long run.,장기적으로 보면 결실을 맺을 것이다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
Take this opportunity,이 기회를 잡다 / 활용하다,You should take this opportunity to improve your skills.,너는 이 기회를 활용해 기술을 향상해야 한다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
fidget,꼼지락거리다/안절부절 못하다,He kept fidgeting during the interview.,그는 면접 내내 안절부절못했다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
smirk,비웃듯 웃다 /얄밉게 웃다,He smirked when he heard the news.,그는 소식을 듣고 비웃듯 웃었다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
I regret to say that,유감스럽게도 ~,I regret to say that your request was denied.,유감스럽게도 당신의 요청은 거절되었습니다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
Prices have gone up,물가가 올랐다,Prices have gone up since last year.,작년 이후로 물가가 올랐다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
pitch in,돈을 보태다 / 함께 부담하다,I can pitch in for groceries too.,나도 식료품 사는 데 돈을 보탤 수 있어.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
It's up to you,네가 결정해 / 네 선택이야,We can stay or leave. It's up to you.,우리는 머무를 수도 떠날 수도 있어. 네가 결정해.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
RSVP,참석 여부를 답하다,Please RSVP by Friday.,금요일까지 참석 여부를 답해주세요.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
as for,~에 관해서는 / ~에 대해 말하자면,"As for me, I prefer tea over coffee.","나에 대해 말하자면, 나는 커피보다 차를 선호해.",1,2.0,0,2026-05-22,2026-05-21 14:00:00
When in doubt,확실하지 않을 때는 / 애매하면,"When in doubt, ask for help.",확실하지 않을 때는 도움을 요청해라.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
baby shower,베이비샤워 / 출산 축하 파티,We're throwing a baby shower for her next week.,다음 주에 그녀를 위한 베이비샤워를 열 거예요.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
I'll keep you updated,계속 알려줄게요,I'll keep you updated on the progress.,진행 상황을 계속 알려줄게요.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
itch,가렵다 / 가려움,My arm itches after the mosquito bite.,모기에 물린 후 팔이 가렵다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
swollen,부어오른,My eyes are swollen from crying.,울어서 눈이 부어있다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
coming down with a cold,감기에 걸리기 시작하다,I think I'm coming down with a cold.,나 감기에 걸리려나 봐.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
suffering,고통받는 / 힘든,She's suffering from a headache.,그녀는 두통으로 고통받고 있다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
wear off,(효과가) 사라지다 / 약해지다,The painkiller will wear off in a few hours.,진통제 효과는 몇 시간 뒤에 사라질 거야.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
outrageous,터무니없는 / 말도 안 되는,The price of that bag is outrageous.,그 가방 가격은 터무니없다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
on top of that,게다가 / 그뿐만 아니라,"It's raining, and on top of that, my car broke down.","비가 오는데, 게다가 차까지 고장 났다.",1,2.0,0,2026-05-22,2026-05-21 14:00:00
fixer-upper,수리가 필요한 집,They bought a fixer-upper and renovated it.,그들은 수리가 필요한 집을 사서 개조했다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
get over,극복하다 / 받아들이고 넘기다,It took her months to get over the breakup.,그녀가 이별을 극복하는 데 몇 달이 걸렸다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
put up with,참다 / 견디다,I can't put up with his attitude anymore.,나는 그의 태도를 더 이상 참을 수 없어.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
on the rise,증가하는 / 상승 중인,Online shopping is on the rise.,온라인 쇼핑이 증가하고 있다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
in decline,감소하는 / 쇠퇴하는,Birth rates are in decline in many countries.,많은 나라에서 출생률이 감소하고 있다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
all over again,처음부터 다시 / 반복해서,I had to start the project all over again.,나는 프로젝트를 처음부터 다시 시작해야 했다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
by far the most,단연코 가장 ~한,This is by far the most difficult task.,이것은 단연코 가장 어려운 과제이다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
lopsided,한쪽으로 치우친 / 불균형한,The table is lopsided and keeps shaking.,테이블이 한쪽으로 기울어서 계속 흔들린다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
a whole lot of,아주 많은,We still have a whole lot of work to do.,우리는 아직 해야 할 일이 아주 많이 남아있다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
look down on someone,무시하다/깔보다,Don't look down on people just because they're different.,단지 다르다는 이유로 사람들을 무시하지 마.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
frustration,좌절감 / 짜증 / 답답함,He sighed with frustration after hearing the news.,그는 뉴스를 듣고 좌절감에 한숨을 쉬었다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
We might as well,~하는 편이 낫겠다 / 어차피 이렇게 된거 ~하자,"Since the store is closed, we might as well go home.",가게가 닫았으니 어차피 이렇게 된 거 집에 가는 게 낫겠다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
ought to,~해야 한다 / ~하는 것이 좋다,You ought to get some rest.,너는 좀 쉬는 게 좋겠어.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
take your word for it,네 말을 믿다,I'll take your word for it since you were there.,네가 거기 있었으니 네 말을 믿을게.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
pull an all-nighter,밤새다 / 철야하다,I had to pull an all-nighter for the exam.,시험 때문에 밤을 새워야 했다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
wing it,즉흥적으로 하다 / 준비 없이 하다,"I didn't practice my speech, so I just winged it.",연설 연습을 안 해서 그냥 즉흥적으로 했어.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
up ahead,앞쪽에 / 전방에,There's a gas station up ahead.,앞쪽에 주유소가 있어.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
fate,운명,I believe it was fate that we met.,우리가 만난 건 운명이라고 믿어.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
the least of my problems,가장 사소한 문제 / 신경 쓸 것 중에 제일 작은 것,That's the least of my problems right now.,그건 지금 내 문제들 중 가장 사소한 거야.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
bury,묻다 /숨기다 / 파묻다,They buried the treasure on the island.,그들은 섬에 보물을 묻었다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
tale,이야기/설화,She told the kids a bedtime tale.,그녀는 아이들에게 잘 때 읽어줄 이야기를 들려주었다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
aside from,~을 제외하고 / ~ 외에는,"Aside from the price, everything was perfect.",가격을 제외하고 모든 것이 완벽했다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
We should have known better,우리가 더 잘 알았어야 했다,We should have known better than to trust him.,우리가 그를 믿지 말았어야 했는데(더 잘 알았어야 했는데).,1,2.0,0,2026-05-22,2026-05-21 14:00:00
peculiar,이상한 / 독특한 / 특이한,There was a peculiar smell in the room.,방에서 이상한 냄새가 났다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
It was no use,소용없었다 / 효과가 없었다,"I tried to explain, but it was no use.",설명하려고 애썼지만 소용없었다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
make for,~을 향해 가다 / ~로 향하다,We need to make for the exit right now.,우리는 지금 당장 출구를 향해 가야 해.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
hold on tight,꽉 붙잡다,Hold on tight. This ride is fast.,꽉 붙잡아. 이 놀이기구는 빨라.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
driveway,(집 앞) 진입로 / 개인 주차 공간,There's a car parked in our driveway.,우리 진입로에 차가 주차되어 있다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
bizarre,기괴한 / 매우 이상한,That was the most bizarre dream I've ever had.,그건 내가 꾼 꿈 중 가장 기괴한 꿈이었어.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
cool down,식다 / 진정하다/진정시키다,Take a walk to cool down a bit.,조금 진정하기 위해 산책 좀 해.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
get carried away,과하게 몰입하다 / 흥분하다,Don't get carried away with shopping.,쇼핑에 너무 과하게 몰입하지 마.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
be in debt,빚이 있다 / 빚을 지다,I'm still in debt from my college loans.,나는 학자금 대출로 여전히 빚이 있다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
deep down,마음속 깊은 곳에서는 / 속으로는,"Deep down, I knew it was wrong.","마음속 깊은 곳에서는, 나는 그것이 잘못된 것임을 알고 있었다.",1,2.0,0,2026-05-22,2026-05-21 14:00:00
take someone for granted,당연하게 여기다 / 가치를 몰다,I feel like my parents take me for granted.,부모님이 나를 당연하게 여기시는 것 같아.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
make a living,생계를 꾸리다,He makes a living by teaching music.,그는 음악을 가르쳐서 생계를 꾸린다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
take courage,용기를 내다,It takes courage to speak the truth.,진실을 말하는 데는 용기가 필요하다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
be hooked on,푹 빠지다 / 중독되다,I got hooked on that TV series.,나는 그 TV 시리즈에 푹 빠졌다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
affair,사건/불륜,The scandal became a national affair.,그 스캔들은 국가적인 사건이 되었다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
will,유언장,He left everything to his children in his will.,그는 유언장에 모든 것을 자녀들에게 남겼다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
kind of like,~과 비슷한 / ~같은 느낌,This tastes kind of like lemonade.,이것은 레모네이드와 비슷한 맛이 난다.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
greedy,욕심 많은 / 탐욕스러운,Don't be greedy. Share with others.,욕심부리지 마. 다른 사람들과 나눠.,1,2.0,0,2026-05-22,2026-05-21 14:00:00
